id,city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
6c756728374e4433fe43268ceea69efc,krakow,apartmentBuilding,78.0,3.0,8.0,10.0,2021.0,50.05601,19.959362,1.5,18.0,0.15,0.195,0.525,0.108,0.132,0.355,0.36,condominium,brick,,yes,yes,yes,no,no,6699
8980533a8ecfed18e24a6b21ae54183a,krakow,apartmentBuilding,46.0,2.0,3.0,4.0,2023.0,50.0799453847428,19.9230818744394,2.95,18.0,0.314,0.821,0.208,0.059,0.217,0.632,0.217,condominium,brick,premium,yes,yes,yes,yes,no,3300
39e1e2068072b9daddc5fef28a38875d,krakow,apartmentBuilding,60.0,3.0,2.0,2.0,,50.095145,19.934692,4.44,14.0,0.138,0.481,0.122,0.196,0.159,1.332,0.167,condominium,brick,,no,yes,no,no,no,3000
52c3dbc1348ffa1607913368ccf40a22,krakow,blockOfFlats,41.0,2.0,1.0,4.0,2004.0,50.0087836653321,20.0142274908967,7.49,13.0,0.459,0.854,0.442,0.345,0.229,3.237,0.051,condominium,brick,,no,yes,no,no,no,2000
2c8bc9f881b109497841e362691e9387,krakow,blockOfFlats,50.0,2.0,3.0,4.0,2015.0,50.04513980915489,19.92855538387137,1.33,19.0,0.398,0.984,0.214,0.162,0.166,0.766,0.107,condominium,brick,,yes,yes,yes,no,no,2590
74f09afb65f76344a77bfcdec2c303f8,krakow,tenement,30.0,2.0,,,,50.0376,19.9433,2.0,21.0,0.122,1.074,0.235,0.359,0.144,1.223,0.176,condominium,brick,,no,no,no,no,no,1700
82e4deade2158fe457b0c279ed05790f,krakow,blockOfFlats,42.0,2.0,5.0,5.0,,50.05555556,19.94277778,0.31,130.0,0.101,0.78,0.437,0.347,0.077,0.479,0.242,condominium,,,no,no,no,no,no,3200
2bdfe5ff7ca75dfbfa1f8b5999140e29,krakow,blockOfFlats,30.0,2.0,2.0,3.0,1960.0,50.065836,19.9650421,2.23,17.0,0.267,0.094,0.602,0.55,0.088,0.261,0.085,condominium,brick,premium,no,no,no,no,no,2690
a198282cab7589826970a114c21d8ede,krakow,apartmentBuilding,63.0,3.0,1.0,4.0,,50.0694321411562,19.9862492518276,3.76,9.0,0.519,0.187,0.464,0.166,0.133,1.818,0.474,condominium,brick,,no,yes,no,no,no,4800
49185a108627d5206d3ae929a74a2687,krakow,blockOfFlats,56.0,3.0,,4.0,1970.0,50.049688,19.955625,1.38,20.0,0.424,0.514,0.615,0.585,0.08,0.606,0.392,condominium,concreteSlab,,no,yes,no,no,no,3300
7b61b8bc5784312a8a17655f26447cab,krakow,blockOfFlats,58.0,3.0,4.0,4.0,2018.0,50.0759270436661,19.936188024766,2.3,16.0,0.661,0.187,0.215,0.25,0.014,0.45,0.203,condominium,,,no,yes,yes,yes,no,2900
efe4ab651a41ba86ed80a5b89893c737,krakow,apartmentBuilding,40.0,2.0,2.0,3.0,2017.0,50.0177,19.9643,4.57,6.0,0.536,0.436,0.36,0.415,0.363,1.337,0.589,condominium,brick,,no,yes,yes,yes,no,2500
1515c10ba9634449390b47b639fcfe8c,krakow,apartmentBuilding,63.33,2.0,2.0,4.0,2010.0,50.0492468,19.9592908,1.63,24.0,0.168,0.248,0.533,0.319,0.034,0.732,0.431,condominium,brick,premium,no,yes,yes,no,no,4800
9a1946949ddf09aca61e575e94a56c6f,krakow,apartmentBuilding,40.0,2.0,4.0,6.0,2023.0,50.0674144,19.9031553,2.86,17.0,0.363,0.323,0.347,0.199,0.232,0.854,0.341,condominium,brick,,no,yes,yes,no,no,3500
9024e8a297e3289cf1cdb2d0b4449691,krakow,blockOfFlats,27.0,1.0,2.0,3.0,,50.07410821,20.03700256,7.34,28.0,0.373,1.131,0.402,0.155,0.09,0.372,0.118,condominium,,,no,yes,no,no,yes,2000
419d718e0a6d97cf92b0b54e261c826f,krakow,blockOfFlats,68.11,3.0,2.0,4.0,,50.01941515,19.89863301,4.9,26.0,0.922,0.232,0.275,0.229,0.077,3.064,0.065,condominium,brick,premium,yes,yes,no,no,no,2999
